id,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,,,,,,
189,1483930800,Clear,clear-night,0,0,45.15,45.15,33.18,0.63,1033.21,1.04,2.95,165,0,0,10,,,,,,,,
190,1483934400,Clear,clear-night,0,0,43.51,43.51,32.38,0.65,,0.7,1.56,142,0,0,10,,,,,,,,
191,1483938000,Clear,clear-night,0,0,42.75,42.75,32.3,0.66,,0.41,1.32,124,0,0,10,,,,,,,,
192,1483941600,Clear,clear-night,0,0,42.21,42.21,33.54,0.71,1032.48,0.87,2.6,185,0,0,10,,,,,,,,
193,1483945200,Clear,clear-night,0,0,41.73,41.73,33.42,0.72,,0.46,0.79,209,0,0,10,,,,,,,,
194,1483948800,Clear,clear-night,0,0,41.02,41.02,33.12,0.73,,0.42,1.06,295,0,0,10,,,,,,,,
195,1483952400,Clear,clear-night,0,0,41.04,41.04,34.62,0.78,1050.3,0.92,0.92,258,0,0,9.997,,,,,,,,
196,1483956000,Clear,clear-night,0,0,40.22,40.22,33.36,0.76,,1.04,2.69,239,0,0,9.997,,,,,,,,
197,1483959600,Clear,clear-night,0,0,40.44,40.44,33.74,0.77,,0.85,1.11,266,0,0,9.997,,,,,,,,
198,1483963200,Clear,clear-night,0,0,40.76,40.76,34.13,0.77,1028.92,1.29,1.29,258,0,0,9.997,,,,,,,,
199,1483966800,Partly Cloudy,partly-cloudy-night,0,0,40.21,40.21,32.52,0.74,,1.45,3.27,286,0.23,0,7.917,,,,,,,,
200,1483970400,Clear,clear-day,0,0,40.54,40.54,34.06,0.78,,1,1,285,0,0,10,,,,,,,,
